,Location,Distance (Text),Duration (Text),Distance (miles),Duration (minutes)
0,"WAWA, 983 - 656 OLD BRIDGE TPKE - SOUTH RIVER - 08882",0 km,0 Minutes,0,0
1,Speedway - 3479 - 232 ROUTE 18 - EAST BRUNSWICK - 08816,0.8 km,4 mins,0.5 miles,4
2,CVS - 10047 - 380 ROUTE 18 - EAST BRUNSWICK - 08816,2.1 km,6 mins,1.3 miles,6
3,"LUKOIL, 344 NJ-18, East Brunswick, NJ 08816",2.1 km,6 mins,1.3 miles,6
4,Shop Rite - 585 - IC - 1422 W PROSPECT AVE  EAST BRUNSWICK - 08816,1.3 km,5 mins,0.8 miles,5
5,WALGREENS - 19396 - 231 PROSPECT ST SOUTH RIVER - 08882,1.2 km,4 mins,0.8 miles,4
6,CRESTWOOD LIQUOR B - 260 OLD BRIDGE TPKE - SOUTH RIVER - 08882,2.9 km,6 mins,1.8 miles,6
7,KRAUSZERS - EAST BRUN - 191 OLD BRIDGE TPK - EAST BRUNSWICK - 08816,3.3 km,7 mins,2.1 miles,7
8,STOP & SHOP - 2809 - 647 STATE ROUTE 18 S EAST BRUNSWICK - 08816,4.5 km,9 mins,2.8 miles,9
9,7-11 - 35886 - NEXXUS - 772 ROUTE 18 NORTH EAST BRUNSWICK - 08816,6.3 km,11 mins,3.9 miles,11
10,BARNES & NOBLE - 2924 - 753 RT 18 - SQUARE #318 - EAST BRUNSWICK - 08816,2.2 km,6 mins,1.4 miles,6
11,7-11 - 10951 - NEXXUS - SUMMERHILL RD 286 EAST BRUNSWICK - 08816,7.1 km,12 mins,4.4 miles,12
12,VILLAGE - DELI - 1591 MAIN STREET - EAST BRUNSWICK - 08816,6.6 km,11 mins,4.1 miles,11
13,7-11 - 34699 - NEXXUS - 111 MAIN ST - EAST BRUNSWICK - 08816,7.3 km,14 mins,4.5 miles,14
14,7-11 - 10950 - NEXXUS - 120 OLD STAGE RD EAST BRUNSWICK - 08816,7.3 km,12 mins,4.5 miles,12
15,Shop Rite - 106 - IC - 65 OLDSTAGE RD SUMM SPOTSWOOD - 08884,7.4 km,13 mins,4.6 miles,13
16,EASY - MART - 100 SUMMERHILL RD SU SPOTSWOOD - 08884,9.2 km,15 mins,5.7 miles,15
17,WALGREENS - 19762 - 15 SUMMERHILL RD SPOTSWOOD - 08884,8.7 km,14 mins,5.4 miles,14
18,MONROE CORNER DELI - 14 TAYLOR AV &MONMTH - SPOTSWOOD - 08884,10.0 km,16 mins,6.2 miles,16
19,THE BROWN BAG MINI - 297 SPTSWDENGLSHTWN - SPOTSWOOD - 08884,8.7 km,15 mins,5.4 miles,15
20,MILK N STUFF - 400 SPOTSWOOD ENGLIS SPOTSWOOD - 08884,11.8 km,18 mins,7.4 miles,18
21,JERSEY - PRIDE FOOD - 16 SNOWHILL ST SPOTSWOOD - 08884,10.0 km,16 mins,6.2 miles,16
22,HELMETTA FOODS INC - 2 OLD FORGE RD H ELMETTA - 08828 ,12.5 km,19 mins,7.8 miles,19
23,SUNOCO - 7704 - NEXXU - 939 CRANBURY/SOUTH R - JAMESBURG - 08831,10.7 km,15 mins,6.7 miles,15
24,WAWA- 986 - 885 CRANBURY SOUTH JAMESBURG - 08831,10.9 km,16 mins,6.8 miles,16
25,614 Cranbury RD East Brunswick NJ 8816,7.9 km,15 mins,4.9 miles,15
26,CVS - 2815 - 330 RUES LANE -E BRUNSWICK- 08816,6.6 km,11 mins,4.1 miles,11
27,7-11 - 39688 - NEXXUS - 314 RUES LANE - EAST BRUNSWICK - 08816,6.4 km,12 mins,4.0 miles,12
28,WAWA - 914 - 426 RYDERS LN - EAST BRUNSWICK - 08816,5.9 km,10 mins,3.7 miles,10
29,2916 ACME - 300 RYDER LANE MILLTOWN - 08850,5.0 km,10 mins,3.1 miles,10
30,QUICK MART - PHARM - 100 RYDERS LANE MILLTOWN - 08850,3.8 km,9 mins,2.3 miles,9
31,MILLTOWN CONVENIEN - 152 S MAIN ST MILLTOWN - 08850,5.3 km,11 mins,3.3 miles,11
32,Speedway - 3447 - 19 MAIN ST - MILLTOWN -08850,4.8 km,10 mins,3.0 miles,10
33,MIKES - COUNTRY MAR - 200 RIVA AVE MILLTOWN - 08850,6.1 km,12 mins,3.8 miles,12
34,RS FOOD MART - DE - 219 RIVAAVE MILLTOWN - 08850,6.2 km,12 mins,3.8 miles,12
35,KRAUSZERS - 465 - 1825 RTE 130 STH & W NORTH BRUNSWICK - 08902,8.1 km,9 mins,5.0 miles,9
36,KRAUSZERS - 302 - 18861887 RT 130 - NORTH BRUNSWICK - 08902,12.2 km,15 mins,7.6 miles,15
37,Shop Rite- 544-IC-400 RENAISSANCE BLVD- NORTH BRUNSWICK-08902,12.1 km,14 mins,7.5 miles,14
38,WALGREENS - 10440 - 2703 ROUTE 130 NORTH BRUNSWICK - 08902,12.9 km,15 mins,8.0 miles,15
39,ROUTE 130 DELI - 2740 RT 130 - NORTH BRUNSWICK - 08902,14.4 km,17 mins,8.9 miles,17
40,PIERRE S DELI - 582 GEORGES RD MONMOUTH JUNCTION - 08852,18.2 km,20 mins,11.3 miles,20
41,651 Ridge RD Monomouth Junction 8852,21.8 km,25 mins,13.6 miles,25
42,WAWA- 476 - 350 GEORGES RD - DAYTON- 08810,19.9 km,21 mins,12.4 miles,21
43,347 Georges RD Dayton NJ 8810,23.1 km,21 mins,14.4 miles,21
44,QUICK CHECK - 127 - 2432 ROUTE 130 - DAYTON -08810,20.9 km,18 mins,13.0 miles,18
45,SALS - ROMA DELI 11 - 1 ROSSMORE DR MONROE TOWNSHIP - 08831,20.1 km,17 mins,12.5 miles,17
46,WELSH FARMS - JAMESB - 234 GATZMER AVENUE - JAMESBURG - 08831,22.8 km,20 mins,14.2 miles,20
47,7-11 - 15560 - NEXXUS - 171 BUCKALEW AVE JAMESBURG - 08831,23.6 km,22 mins,14.6 miles,22
48,JAMESBURG - DELI - 155 GATZMER AVE&FORS - JAMESBURG - 08831,22.7 km,20 mins,14.1 miles,20
49,QUICK CHEK - #161 - 239 FORSGATE DR MONROE TOWNSHIP - 08831,23.6 km,22 mins,14.6 miles,22
50,CVS - 5128 - 238 FORSGATE DR - JAMESBURG - 08831,22.6 km,20 mins,14.1 miles,20
51,STOP & SHOP - 810 - 1600 PERRINEVILLE RD JAMESBURG - 08831,25.6 km,24 mins,15.9 miles,24
52,1601 Perrineville RD Monzoe 08831,25.4 km,23 mins,15.8 miles,23
53,WALGREENS - 17743 - 314 APPLEGARTH RD MONROE TOWNSHIP - 08831,23.6 km,21 mins,14.7 miles,21
54,"United States Postal Service, 65 N Main St, Cranbury, NJ 08512",24.6 km,23 mins,15.3 miles,23
55,CVS - 7238 - 306 APPLEGRATH ROAD JAMESBURG - 08831,23.7 km,21 mins,14.8 miles,21
56,WAWA- 365 - 337 APPLEGARTH RD JAMESBURG - 08831,23.0 km,21 mins,14.3 miles,21
